revision,author,date,title,changed file,insertion,deletion
33371c016e13dadcf7535e11e38065ab193b2c6e,Thiago Macieira,2012-04-03 18:26:27 -0300,Add unit testing for the qdbusxml2cpp tool,3,269,1
db297113d0d5f4197916a318b730d93ea2f39558,Stephen Kelly,2012-08-01 17:00:51 +0200,Fix some typos in static assert message.,1,1,1
4ce776aa7dcd485a7e15307d407de93af3ab3b4c,Denis Shienkov,2012-09-07 12:50:26 +0400,For *nix append CREAD only for ReadOnly or ReadWrite mode,1,4,1
47eb68ab0b8d9ffd357cbad2f74b63ee2cf00dad,Chris Adams,2012-03-14 12:00:40 +1000,Ensure that variant property references keep QObjects alive,11,230,29
568e714fdf9d3243bfc684a5650332e432e70461,Oswald Buddenhagen,2012-02-24 22:12:18 +0100,remove library version matching from qt.conf,1,2,65
8a883d972da3b28d87689c4d4d9c9b5e5b1dcba1,Lars Knoll,2012-07-25 12:57:15 +0200,Do not preload any codecs anymore when using ICU,4,81,30
48baeef0766ba145d26d374561e152b40245f3b8,Bradley T. Hughes,2012-05-30 11:49:40 +0200,Compile with clang's libc++,2,4,2
d292f4a7d3f589323f8f2869918829351789b3a3,Dmytro Poplavskiy,2012-01-31 14:04:53 +1000,Changed QCameraFocus::focusMode type to QFlags based FocusModes,6,24,24
d04e06dc3279bd812d5a060c3f045b84ea345f35,Tasuku Suzuki,2012-05-29 10:21:13 +0900,Remove Library dependency on Settings,14,29,31
2f9608630b9899dda3242f031fa4a4295d0a2e22,Jiang Jiang,2012-01-12 16:28:22 +0100,Fix preedit text visibility when TextInput is empty,1,1,1
3b5537765e13a981ca6029c322d08afb785e0dbe,Pierre Rossi,2012-12-04 18:05:09 +0100,QWindowsFontDatabase: provide better fallbackFamilies.,1,87,74
0838ac541d38b33b23955c036bbcfd94ccc19066,Thiago Macieira,2012-07-31 15:19:30 +0200,Make sure that the parsing mode reaches QUrlPrivate::setHost,3,37,12
159098719b8e8f40d1bd663c61bdc51f883c645f,Jonas M. Gastal,2011-12-22 13:53:38 -0200,Using proper virtual functions instead of Q_INVOKABLE tricks.,6,68,47
8bd99b5f8b6fad92c84178c1bd8e10f05fefb222,Friedemann Kleint,2012-05-10 14:21:56 +0200,Remove the test generator for the test qscriptvaluegenerated.,11,0,1401
058fb94afff8a1a9989ab6d18dacc1fe43769fdb,Shane Kearns,2011-12-22 13:35:34 +0000,Fix faulty logic in http connection pipelining,1,6,2
3f3dd8f1d3219b63582986996cd01e8bb6effc9c,Kai Koehne,2012-03-21 10:15:01 +0100,Show correct origin of Q_ASSERT in Windows dialog,1,3,3
cea7a87d5fe482afa83a8b610b5b39ce83ab27c9,Stephen Kelly,2012-09-27 11:22:25 +0200,Take a QPersistentIndex out of the container instead of casting it.,1,17,7
394e45199fa1aa45036dd787c5052ef7bcd98c52,Holger Hans Peter Freyther,2012-02-25 12:12:09 +0100,directfb: Switch to the new style plugins,3,9,2
c77b53e5749e753f9bb5f5179a200f9dda67220c,Denis Shienkov,2012-03-19 00:03:30 +0400,Partial refactoring a class SerialPort,9,667,633
2354949a34211635bfa062040ee416796e3407f3,Iikka Eklund,2012-06-12 13:21:47 +0300,Bug fixes into packaging scripts.,3,37,14
32c517c9906962a15f214cdcab1d57b32cc8a7e8,Girish Ramakrishnan,2012-05-14 11:36:08 -0700,Fix QPA files inclusion headers,8,24,24
cb33c3b2b64db43b81d81cf56fe1b2b0155a2839,Eskil Abrahamsen Blomfeldt,2012-03-23 14:45:51 +0100,Remove dummy impl. of shared graphics cache in XCB plugin,7,2,1279
2b69159fd899e87bb8b5ddcb1a9350a1da984fb1,Marc Mutz,2012-08-07 19:46:38 +0200,QFileSystemModel: remove incorrect #ifndef,1,0,2
485af6275dddbc70ab4648a6c05a69a19116c227,David Faure,2012-12-14 18:28:06 +0100,"Docu: fix non-ascii character where ""i"" was expected",1,1,1
5a9de4c6768e413a56f0e7b6c67ea11db761cd58,Stephen Kelly,2012-11-26 14:27:37 +0100,Always use QAIM to get the default flags.,9,12,12
0f49ebb4c21007f62055c3390fe925a7d4d6b34c,Thomas McGuire,2012-07-11 16:41:32 +0200,QNX: Fix flushing the backing store to non-owner windows,4,63,15
b01aec8e81a5839ee520ed4e6e4fedf1d2ec419a,Martin Jones,2012-02-20 13:59:41 +1000,cacheBuffer makes delegates appear briefly in wrong position,2,3,2
bf05abddfd542a0568138d533d1f401d32b65e8c,Janne Anttila,2012-06-19 11:19:28 +0300,Fix qstringlist autotest build for WinCE.,1,13,0
0160f58d4ba5efd3beacaca3ce122554a90f1eb4,Bradley T. Hughes,2012-02-02 14:23:32 +0100,Rename qatomic_windows.h to qatomic_msvc.h,7,387,454
345cd69c5be71f9769c1dc3c6cfce0a60e4a4e3e,Robin Burchell,2012-01-20 02:38:40 +0200,Remove Qt 5 notes that would result in source incompatibility unnecessarily.,1,0,1
8a711623a8e913ab547873ebce028c508d39fdbf,Friedemann Kleint,2012-05-18 11:40:41 +0200,QtQuick1: Fix qdeclarativefontloader test.,2,26,18
b3ce4470ae2ece0c03c66684ca3d9dd13955786b,Jonas M. Gastal,2011-12-22 17:42:49 -0200,Removing QHttp class,29,999,8839
f18a6c5fb569ab93e86ca4b75301a7495ba17768,Thiago Macieira,2012-03-29 11:14:12 -0300,Update com.trolltech -> org.qtproject in the bootstrapped tools,2,45,18
d67f9dba560c4248b3ae7c5ca374a88873fd228d,Michael Goddard,2012-07-09 16:51:16 +1000,Fix some failing QAudioInput integration tests on OSX.,5,113,54
18033c075cb8bba2e410018c642986630c9d094d,Tasuku Suzuki,2012-11-23 03:17:47 +0900,Enable network build with QT_NO_NETWORKPROXY,1,2,0
aee2c3a5024fd9fa0b6da7cf90f01825d6043823,Leena Miettinen,2012-12-11 10:24:23 +0100,Doc: move Qt Designer module page to qttools,3,0,393
9aa67cf0c48ff8e9e73fc19c4dcd950961b5ad54,Thiago Macieira,2012-08-31 11:53:34 +0200,Fix the name of the arguments of qAtan2 to match std::atan2,2,6,6
52bc65dc8a38a042a9255e6805c5a3711188c647,Laszlo Agocs,2012-05-09 11:22:07 +0300,Enable float coords in evdevtouch,1,4,4
7a2400641295603b37221dfae2b5ba289dd2a1c9,Roberto Raggi,2012-03-28 10:25:15 +0200,Add floats to the high level IR type system.,4,10,3
7968bd306d182d244a73682aebdb9e74edbc6304,Berthold Krevert,2012-08-03 16:56:53 +0200,Fixes a crash in QQuickImageParticle,1,4,2
abe97ed9363ec5d3099ae388c12fb17d3bed3e3c,Michael Brasser,2012-07-09 11:01:48 +1000,Update usage of childrenRect in Flickable docs.,1,10,3
